"posting_date","currency_date","amount","category"
"29.11.2025","29.11.2025",-41.66,"Jedzenie"
"29.11.2025","29.11.2025",-45,"Prezenty"
"29.11.2025","28.11.2025",-9.06,"Jedzenie"
"28.11.2025","28.11.2025",-24.99,"Biezace"
"28.11.2025","28.11.2025",-1.99,"Jedzenie"
"28.11.2025","28.11.2025",-23.85,"Gotowe jedzenie"
"28.11.2025","28.11.2025",-7.28,"Jedzenie"
"27.11.2025","27.11.2025",-30,"Gotowe jedzenie"
"27.11.2025","27.11.2025",-4,"Gotowe jedzenie"
"27.11.2025","27.11.2025",-4,"Gotowe jedzenie"
"26.11.2025","26.11.2025",-8,"Gotowe jedzenie"
"26.11.2025","26.11.2025",-6,"Gotowe jedzenie"
"26.11.2025","26.11.2025",-3.69,"Jedzenie"
"26.11.2025","26.11.2025",-3.19,"Jedzenie"
"26.11.2025","26.11.2025",-7,"Jedzenie"
"25.11.2025","25.11.2025",-29,"Biezace"
"25.11.2025","25.11.2025",-4,"Gotowe jedzenie"
"25.11.2025","25.11.2025",-9.6,"Jedzenie"
"24.11.2025","24.11.2025",-22.36,"Jedzenie"
"22.11.2025","22.11.2025",-5.37,"Jedzenie"
"22.11.2025","22.11.2025",-2.3,"Jedzenie"
"21.11.2025","21.11.2025",-11.66,"Jedzenie"
"21.11.2025","21.11.2025",4,"Jedzenie"
"21.11.2025","21.11.2025",-4,"Gotowe jedzenie"
"20.11.2025","20.11.2025",-3.29,"Jedzenie"
"20.11.2025","20.11.2025",-27,"Jedzenie"
"20.11.2025","20.11.2025",-50,"Jedzenie"
"20.11.2025","20.11.2025",-4,"Gotowe jedzenie"
"20.11.2025","20.11.2025",-6,"Gotowe jedzenie"
"20.11.2025","20.11.2025",-6.99,"Jedzenie"
"19.11.2025","19.11.2025",-0.89,"Jedzenie"
"19.11.2025","19.11.2025",-15,"Jedzenie"
"17.11.2025","17.11.2025",-11.99,"Gotowe jedzenie"
"15.11.2025","15.11.2025",-5.68,"Jedzenie"
"15.11.2025","15.11.2025",-14.74,"Jedzenie"
"15.11.2025","15.11.2025",-77.98,"Zdrowie"
"15.11.2025","15.11.2025",-269,"Zdrowie"
"15.11.2025","15.11.2025",-140,"Transport publiczny"
"15.11.2025","15.11.2025",300,"Przychody"
"14.11.2025","14.11.2025",-5.1,"Transport publiczny"
"14.11.2025","14.11.2025",-6,"Gotowe jedzenie"
"13.11.2025","13.11.2025",-39.99,"Zdrowie"
"13.11.2025","13.11.2025",-9,"Gotowe jedzenie"
"13.11.2025","13.11.2025",-9,"Gotowe jedzenie"
"13.11.2025","13.11.2025",-2.2,"Transport publiczny"
"13.11.2025","13.11.2025",-3.4,"Transport publiczny"
"13.11.2025","13.11.2025",-3.99,"Jedzenie"
"13.11.2025","13.11.2025",-1.7,"Transport publiczny"
"12.11.2025","12.11.2025",-10.33,"Jedzenie"
"12.11.2025","12.11.2025",-4,"Gotowe jedzenie"
"12.11.2025","12.11.2025",-450,"Zdrowie"
"10.11.2025","10.11.2025",-14.99,"Biezace"
"07.11.2025","07.11.2025",-5.1,"Transport publiczny"
"07.11.2025","07.11.2025",-4,"Gotowe jedzenie"
"07.11.2025","07.11.2025",-4,"Gotowe jedzenie"
"07.11.2025","07.11.2025",-5.98,"Jedzenie"
"06.11.2025","05.11.2025",-20.28,"Jedzenie"
"06.11.2025","06.11.2025",-4.78,"Jedzenie"
"06.11.2025","06.11.2025",-1.7,"Transport publiczny"
"05.11.2025","05.11.2025",-2.78,"Jedzenie"
"05.11.2025","05.11.2025",-4.48,"Jedzenie"
"05.11.2025","04.11.2025",-19.99,"Biezace"
"04.11.2025","04.11.2025",-4,"Gotowe jedzenie"
"04.11.2025","04.11.2025",-450,"Zdrowie"
"04.11.2025","04.11.2025",-57,"Podroze"
"04.11.2025","04.11.2025",-70,"Podroze"
"04.11.2025","03.11.2025",2000,"Przychody"
"31.10.2025","31.10.2025",-3.5,"Jedzenie"
"31.10.2025","31.10.2025",-3.4,"Transport publiczny"
"31.10.2025","31.10.2025",-5.54,"Jedzenie"
"31.10.2025","31.10.2025",-2.5,"Gotowe jedzenie"
"30.10.2025","30.10.2025",-42.73,"Biezace"
"30.10.2025","30.10.2025",-6.8,"Transport publiczny"
"30.10.2025","30.10.2025",-4.4,"Transport publiczny"
"30.10.2025","29.10.2025",-8.34,"Jedzenie"
"29.10.2025","29.10.2025",-1.7,"Transport publiczny"
"29.10.2025","29.10.2025",-1.7,"Transport publiczny"
"28.10.2025","28.10.2025",-6.33,"Jedzenie"
"27.10.2025","27.10.2025",-4.52,"Jedzenie"
"27.10.2025","27.10.2025",-53.59,"Podroze"
"25.10.2025","25.10.2025",-17.54,"Jedzenie"
"25.10.2025","24.10.2025",-58.19,"Podroze"
"24.10.2025","24.10.2025",-6.8,"Transport publiczny"
"24.10.2025","24.10.2025",-450,"Zdrowie"
"24.10.2025","24.10.2025",-2.61,"Biezace"
"23.10.2025","23.10.2025",-6.66,"Jedzenie"
"23.10.2025","23.10.2025",-1.7,"Transport publiczny"
"23.10.2025","23.10.2025",-10.97,"Jedzenie"
"23.10.2025","23.10.2025",-6,"Gotowe jedzenie"
"23.10.2025","23.10.2025",-4.4,"Transport publiczny"
"23.10.2025","23.10.2025",-4.5,"Jedzenie"
"22.10.2025","22.10.2025",-5.78,"Jedzenie"
"22.10.2025","22.10.2025",-6,"Gotowe jedzenie"
"21.10.2025","21.10.2025",-10.65,"Jedzenie"
"21.10.2025","21.10.2025",38.16,"Biezace"
"21.10.2025","21.10.2025",-76.32,"Biezace"
"21.10.2025","20.10.2025",-5.1,"Transport publiczny"
"20.10.2025","20.10.2025",-2.49,"Jedzenie"
"20.10.2025","20.10.2025",-11.99,"Gotowe jedzenie"
"20.10.2025","20.10.2025",-14,"Jedzenie"
"20.10.2025","20.10.2025",-10.04,"Jedzenie"
"20.10.2025","20.10.2025",-450,"Zdrowie"
"20.10.2025","19.10.2025",13,"Jedzenie"
"20.10.2025","19.10.2025",-2.2,"Transport publiczny"
"20.10.2025","19.10.2025",-2.2,"Transport publiczny"
"20.10.2025","19.10.2025",-4.6,"Jedzenie"
"18.10.2025","18.10.2025",-51.97,"Jedzenie"
"18.10.2025","18.10.2025",-3.4,"Transport publiczny"
"18.10.2025","17.10.2025",-2.2,"Transport publiczny"
"18.10.2025","17.10.2025",-6.7,"Jedzenie"
"17.10.2025","17.10.2025",-8.28,"Jedzenie"
"17.10.2025","17.10.2025",-1.19,"Jedzenie"
"17.10.2025","17.10.2025",-6.95,"Jedzenie"
"17.10.2025","17.10.2025",-3.5,"Gotowe jedzenie"
"16.10.2025","16.10.2025",-9.52,"Jedzenie"
"16.10.2025","16.10.2025",-1.89,"Jedzenie"
"15.10.2025","15.10.2025",-6.8,"Transport publiczny"
"15.10.2025","15.10.2025",-4.05,"Jedzenie"
"14.10.2025","14.10.2025",-8.28,"Jedzenie"
"14.10.2025","14.10.2025",-5,"Gotowe jedzenie"
"14.10.2025","14.10.2025",-10,"Gotowe jedzenie"
"14.10.2025","13.10.2025",-5.1,"Transport publiczny"
"13.10.2025","13.10.2025",-11.99,"Gotowe jedzenie"
"13.10.2025","13.10.2025",-1.7,"Transport publiczny"
"13.10.2025","13.10.2025",8.15,"Jedzenie"
"13.10.2025","13.10.2025",398.76,"Podroze"
"13.10.2025","13.10.2025",-8.15,"Jedzenie"
"13.10.2025","13.10.2025",-8.27,"Jedzenie"
"13.10.2025","12.10.2025",-2.99,"Jedzenie"
"13.10.2025","12.10.2025",300,"Przychody"
"11.10.2025","11.10.2025",-4.4,"Transport publiczny"
"11.10.2025","11.10.2025",-29.21,"Jedzenie"
"10.10.2025","10.10.2025",-21.9,"Zdrowie"
"10.10.2025","10.10.2025",-46.22,"Jedzenie"
"10.10.2025","10.10.2025",-270,"Sport"
"10.10.2025","10.10.2025",-3,"Gotowe jedzenie"
"10.10.2025","10.10.2025",-14.99,"Biezace"
"09.10.2025","09.10.2025",-3,"Gotowe jedzenie"
"09.10.2025","09.10.2025",-39.89,"Ubrania"
"09.10.2025","09.10.2025",-54.35,"Ubrania"
"08.10.2025","08.10.2025",-7.28,"Jedzenie"
"08.10.2025","08.10.2025",-3.5,"Gotowe jedzenie"
"08.10.2025","08.10.2025",-3.4,"Transport publiczny"
"07.10.2025","07.10.2025",-15.75,"Jedzenie"
"07.10.2025","07.10.2025",-1.7,"Transport publiczny"
"07.10.2025","07.10.2025",-14.85,"Gotowe jedzenie"
"07.10.2025","07.10.2025",-7,"Jedzenie"
"07.10.2025","07.10.2025",-1.7,"Transport publiczny"
"06.10.2025","06.10.2025",-54.95,"Biezace"
"06.10.2025","06.10.2025",-11.99,"Gotowe jedzenie"
"06.10.2025","06.10.2025",-3.89,"Jedzenie"
"06.10.2025","06.10.2025",-56.52,"Jedzenie"
"06.10.2025","05.10.2025",-4.72,"Jedzenie"
"06.10.2025","05.10.2025",-2,"Jedzenie"
"04.10.2025","04.10.2025",-20.24,"Jedzenie"
"04.10.2025","04.10.2025",-14,"Gotowe jedzenie"
"04.10.2025","04.10.2025",-2.89,"Jedzenie"
"04.10.2025","04.10.2025",-38.5,"Podroze"
"03.10.2025","03.10.2025",-38.5,"Podroze"
"02.10.2025","02.10.2025",-1.7,"Transport publiczny"
"02.10.2025","02.10.2025",-23.98,"Jedzenie"
"02.10.2025","02.10.2025",-21.98,"Biezace"
"02.10.2025","02.10.2025",-9.91,"Jedzenie"
"02.10.2025","02.10.2025",-11.69,"Jedzenie"
"01.10.2025","01.10.2025",-31.5,"Biezace"
"01.10.2025","01.10.2025",-87,"Biezace"
"01.10.2025","01.10.2025",-3.99,"Kosmetyki"
"01.10.2025","01.10.2025",-4.51,"Jedzenie"
"01.10.2025","01.10.2025",1500,"Przychody"
"01.10.2025","30.09.2025",-247.98,"Sport"
"30.09.2025","30.09.2025",-48.95,"Jedzenie"
"29.09.2025","29.09.2025",-1.7,"Transport publiczny"
"29.09.2025","29.09.2025",-11.99,"Gotowe jedzenie"
"29.09.2025","29.09.2025",-3,"Gotowe jedzenie"
"29.09.2025","29.09.2025",150,"Przychody"
"29.09.2025","29.09.2025",-2,"Transport publiczny"
"26.09.2025","25.09.2025",-25,"Podroze"
"25.09.2025","25.09.2025",-5.85,"Jedzenie"
"25.09.2025","25.09.2025",-1.6,"Transport publiczny"
"25.09.2025","25.09.2025",-3.75,"Kosmetyki"
"25.09.2025","25.09.2025",-1.6,"Transport publiczny"
"24.09.2025","24.09.2025",-26,"Gotowe jedzenie"
"23.09.2025","23.09.2025",-1.6,"Transport publiczny"
"23.09.2025","23.09.2025",-1.6,"Transport publiczny"
"23.09.2025","23.09.2025",-106,"Sport"
"22.09.2025","22.09.2025",-3.14,"Jedzenie"
"22.09.2025","22.09.2025",-2,"Transport publiczny"
"19.09.2025","19.09.2025",-400,"Kosmetyki"
"19.09.2025","19.09.2025",350,"Przychody"
"18.09.2025","18.09.2025",-139,"Kino i teatr"
"18.09.2025","18.09.2025",-3.75,"Transport publiczny"
"18.09.2025","18.09.2025",-2.4,"Transport publiczny"
"18.09.2025","18.09.2025",-3.75,"Transport publiczny"
"18.09.2025","18.09.2025",-6.8,"Jedzenie"
"17.09.2025","17.09.2025",-24.25,"Jedzenie"
"17.09.2025","17.09.2025",-212.96,"Kosmetyki"
"17.09.2025","17.09.2025",833.47,"Podroze"
"10.09.2025","10.09.2025",-14.99,"Biezace"
"05.09.2025","05.09.2025",-30.39,"Ubrania"
"03.09.2025","03.09.2025",-3.4,"Transport publiczny"
"03.09.2025","03.09.2025",-479.99,"Ubrania"
"03.09.2025","03.09.2025",-14.27,"Kosmetyki"
"03.09.2025","03.09.2025",-55,"Zdrowie"
"03.09.2025","03.09.2025",-298,"Podroze"
"03.09.2025","02.09.2025",-1.7,"Transport publiczny"
"03.09.2025","02.09.2025",-1.7,"Transport publiczny"
"03.09.2025","02.09.2025",-11.99,"Jedzenie"
"02.09.2025","02.09.2025",-1070.09,"Podroze"
"02.09.2025","02.09.2025",-20.15,"Jedzenie"
